Caso_ID,Configuracion,Alpha_Grados,CL_Downforce,CD_Drag
1,Maxima_Eficiencia,-4.0,-0.19519993987751044,0.015089490011023297
1,Maxima_Eficiencia,-3.983983983983984,-0.20082709750613745,0.014249688008384167
1,Maxima_Eficiencia,-3.967967967967968,-0.20374178166077364,0.014205203156363201
1,Maxima_Eficiencia,-3.951951951951952,-0.20084613697902362,0.015360943812296447
1,Maxima_Eficiencia,-3.935935935935936,-0.20122471596474187,0.015970632765146098
1,Maxima_Eficiencia,-3.91991991991992,-0.22392059695532765,0.015305224934235364
1,Maxima_Eficiencia,-3.903903903903904,-0.21743634080112886,0.016021877229224223
1,Maxima_Eficiencia,-3.8878878878878878,-0.20969502449914929,0.015006575623861516
1,Maxima_Eficiencia,-3.871871871871872,-0.2198559583255504,0.0151998822529118
1,Maxima_Eficiencia,-3.855855855855856,-0.21787006453710284,0.015715499661215705
1,Maxima_Eficiencia,-3.83983983983984,-0.22171678964062624,0.016051200297007906
1,Maxima_Eficiencia,-3.823823823823824,-0.21733945646514802,0.014575886568013851
1,Maxima_Eficiencia,-3.8078078078078077,-0.22979738851757214,0.014737446591925149
1,Maxima_Eficiencia,-3.7917917917917916,-0.2404885257614079,0.014513589805389582
1,Maxima_Eficiencia,-3.775775775775776,-0.23059765074329952,0.01591298851043443
1,Maxima_Eficiencia,-3.75975975975976,-0.2289429115667709,0.013676831007756159
1,Maxima_Eficiencia,-3.7437437437437437,-0.23608836081393622,0.014998916381222367
1,Maxima_Eficiencia,-3.7277277277277276,-0.2387719298890564,0.013883022736250824
1,Maxima_Eficiencia,-3.7117117117117115,-0.23425013705948455,0.014760037961169594
1,Maxima_Eficiencia,-3.6956956956956954,-0.242740438245597,0.016052934333692134
1,Maxima_Eficiencia,-3.67967967967968,-0.24199972461584773,0.014943069702683564
1,Maxima_Eficiencia,-3.6636636636636637,-0.22827912370815262,0.016696192862307724
1,Maxima_Eficiencia,-3.6476476476476476,-0.2362154625732186,0.0141085349105235
1,Maxima_Eficiencia,-3.6316316316316315,-0.24395210230956926,0.013785115095442741
1,Maxima_Eficiencia,-3.6156156156156154,-0.24600936207430651,0.015359520534973635
1,Maxima_Eficiencia,-3.5995995995995997,-0.2458442003529974,0.01591160293102122
1,Maxima_Eficiencia,-3.5835835835835836,-0.2588010782786343,0.014281201199423641
1,Maxima_Eficiencia,-3.5675675675675675,-0.25793622014969747,0.016399620733872963
1,Maxima_Eficiencia,-3.5515515515515514,-0.25468067991940907,0.01565760556803945
1,Maxima_Eficiencia,-3.5355355355355353,-0.257650036345412,0.014077032408026234
1,Maxima_Eficiencia,-3.5195195195195197,-0.25204623045225116,0.016251698370886664
1,Maxima_Eficiencia,-3.5035035035035036,-0.27211529050514704,0.015174704922487047
1,Maxima_Eficiencia,-3.4874874874874875,-0.2674920476819669,0.01498160978602409
1,Maxima_Eficiencia,-3.4714714714714714,-0.26194607094326877,0.014947810564458982
1,Maxima_Eficiencia,-3.4554554554554553,-0.26701872783093317,0.01586585755668056
1,Maxima_Eficiencia,-3.4394394394394396,-0.2570394299957026,0.015620174246847912
1,Maxima_Eficiencia,-3.4234234234234235,-0.2651693217871028,0.014482910529741929
1,Maxima_Eficiencia,-3.4074074074074074,-0.27727348794162554,0.01575447456264634
1,Maxima_Eficiencia,-3.3913913913913913,-0.2740628044895534,0.01386561239750219
1,Maxima_Eficiencia,-3.3753753753753752,-0.27839067547637786,0.013427368098831707
1,Maxima_Eficiencia,-3.3593593593593596,-0.2779785405623857,0.0157769917685107
1,Maxima_Eficiencia,-3.3433433433433435,-0.28097885451197524,0.016949898925186307
1,Maxima_Eficiencia,-3.3273273273273274,-0.2723666588561394,0.01502932411126834
1,Maxima_Eficiencia,-3.3113113113113113,-0.2814592449910557,0.01652141829439129
1,Maxima_Eficiencia,-3.295295295295295,-0.2796561271822922,0.016641589029005113
